time,coverage
0.5779762268066406,0.09249461101312953
5.576339483261108,0.09249461101312953
10.575708866119385,0.09249461101312953
15.576313257217407,0.19326093010303536
20.575766563415527,0.19326093010303536
25.57600426673889,0.2320236061500233
30.575900077819824,0.2320236061500233
35.57617235183716,0.2662680540456593
40.57605457305908,0.2662680540456593
45.57619285583496,0.27258984401841546
50.57611632347107,0.309828039168856
55.57636737823486,0.4054823780704877
60.57689595222473,0.4940073573039041
65.5764696598053,0.5260166412750498
70.57640933990479,0.5405484589241767
75.57640314102173,0.5405484589241767
80.57630896568298,0.5405484589241767
85.57675862312317,0.5405484589241767
90.57655787467957,0.5405484589241767
95.5766248703003,0.5405484589241767
